question,answer
繪卷中，與縛骨清姬愛恨糾纏的男子是,安珍
繪卷中，玉藻前為何想要毀滅京都,痛失子女
繪卷中xxx替誰擋下了酒吞童子致命的一擊源賴光,鬼切
惠比壽的技能「鯉魚旗」，鯉魚旗最多繼承惠比壽百分之多少生命,60
火車連續發出兩聲長鳴，這表示：,倒退
獲得結界皮膚“編心織憶”後，可以獲得以下哪種加成,結界卡經驗加成
獲得頭像框月見黑需要連續多少次召喚不出SSR,400
取得結界皮膚「折夢祈月」後，結界突破可以獲得下列哪一種加成,效果抵抗加成
集齊全部呱太可獲得,隨機SSR式神
技能「錢即正義」消耗幾點鬼火,2
妓夫太郎與墮姬的關係是,兄妹
甲骨文是寫在什麼上面的,龜甲
甲骨文是寫在什麼上面的,獸骨
教唆紅葉食人的人是誰,黑晴明
結界挑戰券的擁有量上限是,30
介紹了諸多式神之間羈絆的泡麵番《陰陽師‧平安物語》其片尾曲叫做,起風了
緊那羅共能彈奏幾個律音,5
進行結界突破需要消耗的道具是,結界挑戰券
燼天玉藻前施放「焚天九尾」進行幾次攻擊,9
九命貓有幾條尾巴,2
久次良施放「方圓之備」，使友方全體獲得什麼效果,獲得護盾
久次良施放「魚鱗之備」，使友方全體獲得什麼效果,增加行動條
酒吞呱的好朋友是誰,茨木呱
酒吞童子「狂氣」最多可獲得幾層,4
酒吞童鍾情於誰,鬼女紅葉
具有止血功能的維生素是,維生素k
劇情中，暗戀鯉魚精的妖怪是誰,河童
劇情中，八百比丘尼在孔雀林中等待了晴明多久,三十年
劇情中，八百比丘尼長生不老是因為誤食了,人魚肉
劇情中，八岐大蛇與誰締結契約,源賴光
劇情中，白狼的救命恩人是下列哪一位陰陽師,源博雅
劇情中，草薙劍的碎片藏在何處,冥府
劇情中，茨木童子常常掛在嘴邊的一句話是,摯友啊
劇情中，賭上性命舉行儀式暫時封印八岐大蛇的人是,京都的陰陽師
劇情中，鳳凰火請求晴明將誰從孔雀林中帶走,八百比丘尼
劇情中，黑晴明教唆誰吃人肉來保持美貌,鬼女紅葉
劇情中，黑晴明想要破壞守衛京都的四神結界中名字有誤的是,白狐
劇情中，黑童子和白童子成為了誰的弟子,鬼使黑和鬼使白
劇情中，荒作為高天原的使者與閻魔和神樂對話，高天原代表的是,天界
劇情中，輝夜姬的好朋友是誰,金魚姬
劇情中，將神樂抓到黑夜山的妖怪是誰,食發鬼
劇情中，金魚姬想向誰報復,荒川之主
劇情中，金魚姬邀請誰參加了女子會,荒
劇情中，救了青行燈的人是誰,鳳凰火
劇情中，傀儡師和她的哥哥沉睡在何處,三途川中
劇情中，沒有伴隨晴明釋放陰陽分離之術而失憶的式神是,其餘選項皆對
劇情中，沒有在夢境中出現過的妖怪是,輝夜姬
劇情中，前來拜託晴明的是跳跳一家中的誰,跳跳妹妹
劇情中，晴明為了擊敗八岐大蛇，在尋找什麼道具,草薙劍
劇情中，誰曾是晴明失憶前的式神,九命貓
劇情中，食發鬼最終折服於誰的容貌,晴明
劇情中，是誰告訴晴明草薙劍的碎片在冥界,黑晴明
劇情中，是誰將首無封印,白狼
劇情中，是誰將在宮廷中沉睡的妖刀姬喚醒,荒
劇情中，是誰殺害了犬神的好友「雀」,九命貓
劇情中，跳跳一家中的誰誤入了冥界,跳跳哥哥
劇情中，童男提到，草薙劍原本應該存放在,熱田神宮
劇情中，雪女和大天狗追隨的陰陽師是誰,黑晴明
劇情中，閻魔要求晴明鎮壓的妖怪是誰,傀儡師
劇情中，櫻花妖的夫君是誰,忠義
劇情中，螢草的救命恩人是下列哪一位式神,白狼
劇情中，在黑夜山擾亂玄武守護結界的是誰,大天狗
劇情中，在夢境中誘拐神樂的妖怪是誰,巫蠱師
劇情中，在西大街擾亂白虎守護結界的是誰,兩面佛
劇情中，在鴨川河擾亂青龍守護結界的是誰,荒川之主
劇情中，在朱雀門擾亂朱雀守護結界的是誰,雪女
覺醒材料有多少種類,4
可以為式神提供大量經驗的道具是,招福達摩
可以在秘卷屋中兌換的道具有,其餘選項皆對
可以在戰鬥時召喚出影分身協戰的陰陽師是誰,源博雅
傀儡師是如何稱呼背後的傀儡的,哥哥
鐮鼬三兄弟的長兄叫做,一太郎
煉獄槙壽郎初次見灶門炭治郎時，說他使用的呼吸是,日之呼吸
煉獄槙壽郎初見炭治郎說自己使用呼吸是,日之呼吸
煉獄槙壽郎透過什麼認定灶門炭治郎使用的是日之呼吸,耳飾
煉獄千壽郎將什麼作為兄長讀物贈送給灶門炭治郎,刀鍔
煉獄杏壽郎的「精神之核」是什麼顏色,紅色
煉獄杏壽郎告訴父親自己成為炎柱之後，父親的回答是,無聊無謂
兩面佛的兩面分別是什麼,風神雷神
兩面佛攻擊時，風神對敵方會造成下列哪一種效果,造成間接傷害
鱗瀧左近次與灶門炭治郎的關係為,師徒
鈴鹿禦前的其中一把武器名是,逐影
聆海金魚姬的被動護盾吸收傷害量與其哪個屬性有關,攻擊
聆海金魚姬對友方單位的治療與自身的哪個屬性有關,攻擊
聆海金魚姬獲得「凝神」印記的層數上限是,8
六弦琴的別稱是什麼,吉他
六弦琴是什麼樂器的別稱,吉他
瀧夜叉姬的月之奧義最多總計有多少種附加效果,4
瀧夜叉姬在戰鬥開始時能提升下列哪一種屬性100%,暴擊抵抗
朧車結界卡可以提供什麼額外獎勵,八岐大蛇鱗片
朧車是誰的部下,玉藻前
路旁的樹幹刷成白色，是為了,防蟲
綠色蔬萊營養豐富，下列不屬於綠色疏菜所含營養物質的為,蛋白質
綠色顏料用完了用什麼顏色混合,黃色和藍色
馬怎樣睡覺的,站著睡
滿足什麼條件後，就能夠將式神放置於庭院內,解鎖傳記一至三
貓的身體尾巴連成一條直線表示什麼,準備攻擊
貓的尾巴與身體連成一條直線的時候，表示：,準備攻擊
每日的前多少次陰陽寮任務可以獲得雙倍獎勵,10
每日可以完成多少次陰陽寮任務,30
每週第一次分享式神圖鑑或召喚結果時，能獲得的獎勵是,神秘的符咒
每週獲取數量有上限的是,鬥技榮譽點
每周可以挑戰多少次真·八岐大蛇副本並獲得獎勵,2
美食結界卡可以提供什麼額外獎勵,式神碎片
孟婆的好朋友是誰,山兔
孟婆最初是為了誰，才調製能使人忘卻一切的湯藥,母親
你豆子咬著竹筒是因為,怕咬傷人
秘卷書童和下列哪一個式神最像,赤舌
面具的細節不同，象徵的妖怪也不同。 紅臉高鼻式的面具是屬於誰的,大天狗
面靈氣的惡面能為自身提供下列哪一種效果,速度
面靈氣的善面不能為友方提供下列哪一種效果,速度
冥界中，誰持奪命墨筆一支，定人生死,判官
冥界中，誰擁閻魔之目一雙，審善度惡,閻魔
拿著大人偶的女孩是指,傀儡師
哪個呱太在出門前，總要檢查口脂有沒有塗得完美對稱,彼岸花呱
哪個式神是可愛的女孩子,紙舞
哪個字常用作表示順序的第五位,戊
那種方式可以避開魘夢讓人陷入夢境,避免對視
能提高身體排污能力的食物是,豆類
檸檬汁有什麼營養含量,維生素A和維生素C
判官鍾情於誰,閻魔
平安百物語中，蟲師的好朋友是誰,古籠火
平安百物語中，茨木呱的手裡為什麼一直拿著氣球,氣球是他的力量
平安百物語中，茨木呱的右臂怎麼了,藏在袖子裡
平安百物語中，茨木呱在朧車戰敗後為何落荒而逃,懼怕被捏臉
平安百物語中，呱太們入侵京都是為了什麼,毀滅京都
平安百物語中，古籠火是誰的守護式神,一目連
平安百物語中，金魚姬征服世界道路上第一個想要打敗的人是,荒
平安百物語中，酒吞童子第一次見到酒吞呱時感受如何,覺得可愛
平安百物語中，誰夢想成為京都的明星,蝴蝶精
器物經百年，得化為精靈，詔騙人心，例如唐紙傘妖，人們稱之為,付喪神
千姬的「海原貝戟」繼承千姬百分之幾的防禦,1
千姬的海原貝戟繼承多少防禦,1
千姬的海原貝戟生命值與千姬的哪個屬性有關,攻擊
千壽郎將什麼作為兄長遺物送炭治郎,刀鍔
錢即正義消耗幾點鬼火,2點
潛伏在遊郭的上弦之陸有幾人,2人
親友使用自己的協戰式神前多少次可以獲得獎勵,50
青行燈的技能「吸魂燈」，每次對一名敵方最多可能吸取幾點鬼火,1
青行燈是在哪裡第一次遇到鳳凰火的,鳳凰林
清姬經歷了誰的背叛之後，化為了妖怪,戀人
晴明的御靈是,神龍
晴明所穿的衣服種類是,♣衣
晴明在失憶前，提前準備了哪一隻式神應對緊急情況,小白
犬神覺醒前背後的房子上寫的是,犬屋敷
人舌頭的哪個部位對甜味最敏感,舌尖
人體那個關節活動幅度最大,肩關節
人體最大的解毒器官是,肝臟
人體最堅硬的部位是,牙齒
人在咀嚼食物時上下顎是怎樣運動的,下顎碰上頜
日和坊背著的娃娃叫做,晴天娃娃
日和坊儲存日光能量的方式是,其餘選項皆對
日和坊治療友方的時機是,敵方回合結束時
如想去除衣服上的鐵鏽，應使用:,草酸
若櫻花妖本身未處於無法動作，以下哪個時機，櫻花妖會治療友方,其他友方回合結束時
弱冠之年是多少歲,20歲
剎那蓮華綻放恢復友方生命總量與帝釋天的哪個屬性有關,攻擊
山童最喜歡吃的食物是什麼,飯糰
山兔的坐騎是什麼動物,蛙
商店寄售屋可以進行的操作是,其餘選項皆對
商店雜貨鋪每週購買禦靈境之鑰的上限為,40
上弦之參猗窩座第一次見煉獄杏壽郎便邀請他,成為鬼
誰不是水生妖怪,九命貓
誰不是宇髓天元的妻子,你豆子
誰眼睛最少的,山童，天邪鬼黃
神龕中，R級式神可以兌換多少御札,5片
神樂的技能通靈·疾風的效果是,使一名隊友立即獲得行動機會
神樂與晴明第一次見面的地點是,黑夜山
升級經驗酒壺需要消耗的道具是,勳章
升級式神需要消耗的道具或材料不包含以下哪一個,神秘的符咒
升級體力食盒需要消耗的道具是,勳章
升級禦魂需要消耗的道具或材料有下列哪一個,禦魂
聲名大振,5000
聲望達到多少可以每日挑戰2隻不同的地域鬼王,2000
聲望達到多少可以每日挑戰3隻不同的地域鬼王,10000
食發鬼的姊姊是誰,煙煙羅
世界上最大的鯨,藍鯨
世界上最小的鳥,蜂鳥
式神滿足下列哪一個條件，才可以升星,達到當前最大等級
式神孟婆的坐騎妖鍋的名字叫做什麼,牙牙
是誰將灶門祢豆子變成了鬼,鬼舞辻無慘
守護歷練每天可挑戰幾次,5
數珠最多能獲得多少個佛珠,6
斯靈物也，香氣聞數百里，死屍在地，聞氣乃活。 此物乃是,返魂香
鎹（song）鴉的作用,聯絡訊息
鎹鴉的作用是,聯絡消息
俗稱「四不像」的動物是,麋鹿
俗稱「長生果」的是指,花生
所有呼吸的起源是,日之呼吸
所有呼吸的起源是什麼,日之呼吸
,
炭治郎第一次見無限列車以為他是,土地守護神
炭治郎頭上的傷疤是怎麼來的,被火盆燙傷
炭治郎在遊郭如何安撫發狂的豆子,唱搖籃曲
挑戰憤怒的石距副本，需要消耗多少體力,45
挑戰年獸副本，需要消耗多少體力,12
挑戰日輪之隕可以獲得幾種不同種類的御魂,4
挑戰石距副本，需要消耗多少體力,30
挑戰業原火副本，需要下列哪一種道具,其餘選項皆對
挑戰真·八岐大蛇副本，需要消耗多少體力,60
跳跳妹妹的寵物狗的名字是,番茄
鐵鼠的口頭禪是什麼,家有一鼠，如有一寶
鐵鼠胸口的木牌上寫的字是,奉納
庭院中出現的掃地工小紙人的手是什麼顏色,淡紫色
庭院中地藏像前有使用七曜記日的木牌，關於七曜日其的排序是,日月火水木金土
庭院左邊活動燈籠許願架上站著什麼動物,烏鴉
通常人們在信尾寫上「此致敬禮」，這個「此」是指,信的內容
透過「暴食鬼」，能做到的是,升級式神
透過「陰陽術」，做不到的是,升級式神
透過參加「百鬼夜行」，可能獲得什麼,式神碎片
透過式神錄不能做到的是,升級禦靈
透過以下哪種方式可以獲得榮譽,鬥技
透過以下哪種方式可以獲得勳章,其餘選項皆對
童男曾被任命調查三大神器之一的下落，以下不是三大神器的是,天羽羽斬
頭像框百鬼之主的取得方式是,為惠而戰捌段前十
頭像框百⿁莫開的獲得⽅式,參與⿁王之宴活動
頭像框大陰陽師的取得方式是,為崽而戰捌段前一百
頭像框京都名士的取得方式是,為患而戰捌段前五百
頭像框久相伴的取得方式是,簽到999天
頭像框立烏帽子的取得方式是,每週鬥技全服前五百名
頭像框玲瓏錦簇的取得方式是,簽到1234天
頭像框名聲大振的獲得方式是,成就點數突破5000
頭像框千眷依的取得方式是,簽到1500天
頭像框守護者的獲得方式是,每週結界突破前1000名
頭像框守護者的獲得方式是,每週結界突破前一千名
頭像框相依偎的取得方式是,簽到500天
頭像框與君共的獲得方式是,簽到365天
頭像框月見黑的獲得方式是,完成成就非洲·陰陽師
土蜘蛛在什麼地區附近出現,青之森
蝸牛頭上的一對觸角主要有什麼作用,探路
我妻子善逸的麻雀叫什麼,啾太郎
我妻善逸化名善子，在遊郭「京極屋」展現了什麼樣的特技,彈三味線
我妻善逸埋伏遊郭展現的什麼才藝,彈三味線
我妻善逸現在的髮色是如何來的,被雷劈後變色
我妻善逸用於和其他隊員聯繫的動物是,麻雀
我妻善逸最初見到豆子覺得她,好可愛
巫蠱師對哪位式神有特殊的執念,蝴蝶精
無限列車第一個醒來的是,炭治郎
無限列車共有幾節車廂,8節
無限列車中，第一個從下弦之壹·魘夢製造的夢境中醒來的人是,灶門炭治郎
五香除花椒，茴香籽外還包括什麼,八角，桂皮，丁香花蕾
喜歡吃紫蘇葉的式神是,吸血姬
匣中少女的手上拿著的是什麼,人偶
匣中少女在友方行動後，機率使其,獲得護盾
匣中少女在友方行動後，可以使其,獲得護盾
下列不屬於「六藝」的是,武
下列動物中不能夠眨眼的動物是,蛇
下列何者是人體的造血器官,骨髓
下列哪一種動物不屬於哺乳類,海龜
下列食物中屬於酸性食物的是,雞蛋黃
下列植物中，不是「歲寒三友」的是,蘭
下列哪一個字用作表示順序的第五位元,戊
下弦一夢魘裡我妻善逸夢見了誰,你豆子
下弦之壹·魘夢最終與什麼東西融為一體,無限列車
夏季在烈日下工作或運動量過大出汗時，為預防中暑應多喝,鹽開水
現世傳說中，破解擋住去路的牆壁妖怪塗壁的方法是,踹其牆根
現世傳說中，晴明之母葛葉的原型是,白狐
現世中，達摩不倒翁有著祈願之意，為達摩畫上右眼象徵,還願
現世中，達摩不倒翁有著祈願之意，為達摩畫上左眼象徵,許願
現世中，紅色的彼岸花被稱為,曼珠沙華
現世中，狐狸被視為主管豐產的稻荷神的使者，被稱作稻荷神的式神是,禦饌津
現世中，立春前一天稱為節分，人們為了驅邪納福會,其餘選項皆對
現世中，犬神的種類屬於,柴犬
想要回顧已經解鎖的繪卷劇情入口是,點擊庭院大樹追憶繪卷
想要回顧已經解鎖的主線劇情入口是,點擊庭院大樹前塵憶夢
小白的哪一隻腳裝有腳環,左前腳
小白擁有幾條尾巴,兩條
小鹿男的技能可以造成的效果是,其餘選項皆對
小松丸觸發躲避時，能附加哪一種控制效果,挑釁
協同鬥技玩法的入口在哪裡,町中
協同鬥技選擇式神階段玩家可以選擇幾位式神,5
協同鬥技中每位玩家可以上陣幾位式神,3
蟹姬皮膚海之大將的獲取方法,協同鬥技積分兌換
懸賞封印的任務每天刷新幾次,2
雪女的技能「暴風雪」，可能對敵方造成什麼效果,冰凍
雪童子的「霜織庇護」不能抵擋下列哪一種效果,減速
雪童子的刀的名字是,雪走
雪童子的雪兔子的名字是,雪丸
雪童子因為沾染了誰的妖氣，才獲得了長久的生命,玉藻前
薰身邊的鳥伴是什麼鳥,鴞
炎柱:煉獄杏壽郎被在車站賣便當的少女用什麼東西砸中過,紅豆沙麵包
閻魔呱為了變美穿誰的衣服,彼岸花呱
閻魔覺醒的增強效果是,速度增加
妖狐試圖擄走的妖怪是,鯉魚精
一般鋼琴是一連串八度音程區間所構成，請問一音程中有幾個黑鍵,5個
一目連呱把誰當妹妹來照顧,妖刀姬呱
以什麼為媒介，一般人也就可以進入魘夢製造的夢境,繩子
以下材料或道具，哪一種不能透過花合戰獲得,禦魂
以下材料或道具，哪一種不能在結界突破中獲得,禦行達摩
以下材料或道具，哪一種不能在秘聞副本中獲得,插畫券
以下寵物中，餵食哪一個可以獲得禦魂加成,三花貓
以下道具或材料，哪一種不能透過花合戰獲得,禦魂
以下道具或材料，哪一種不能透過式神委派獲得,結界挑戰券
以下個不是帝釋天的技能,苦海浮生
以下個是真正的魚,螄魚
以下呱太中，誰的手上繫著氣球,茨木呱
以下呱太中，誰常在朧車出發前遲到,彼岸花呱
以下呱太中，誰是天然黑擅長補刀,輝夜姬呱
